Date,Traffic_Source,Sessions,Users,Page_Views,Bounce_Rate,Avg_Session_Duration,Device_Category
2023-05-03 06:00:00,Paid,600,1473,1623.0,52.69,161.1,Desktop
2023-05-03 07:00:00,Direct,940,373,3312.0,44.9,157.13,Mobile
2023-05-03 08:00:00,Direct,185,1116,1045.0,51.09,162.58,Desktop
2023-05-03 09:00:00,Referral,1423,824,845.0,48.0,203.68,Tablet
2023-05-03 10:00:00,Direct,1553,1002,5010.0,53.07,163.96,Mobile
2023-05-03 11:00:00,Referral,190,1315,4758.0,32.04,227.1,Desktop
2023-05-03 12:00:00,Organic,1491,637,2312.0,23.71,246.25,Tablet
2023-05-03 13:00:00,Direct,987,158,8939.0,46.92,211.22,Mobile
2023-05-03 14:00:00,Paid,1479,1265,1522.0,53.23,147.14,Tablet
2023-05-03 15:00:00,Direct,1157,700,4491.0,54.04,202.68,Desktop
2023-05-03 16:00:00,Direct,340,993,6073.0,43.82,222.98,Desktop
2023-05-03 17:00:00,Organic,901,1104,5014.0,29.35,223.32,Tablet
2023-05-03 18:00:00,Paid,1193,1336,2093.0,58.96,146.07,Desktop
2023-05-03 19:00:00,Social Media,406,869,5356.0,55.71,80.09,Mobile
2023-05-03 20:00:00,Direct,1383,953,4692.0,47.04,206.36,Tablet
2023-05-03 21:00:00,Paid,467,1357,2360.0,43.06,205.01,Tablet
2023-05-03 22:00:00,Organic,1640,1113,2851.0,40.13,220.01,Desktop
2023-05-03 23:00:00,Organic,316,271,7381.0,32.28,250.48,Mobile
2023-05-04 00:00:00,Social Media,1879,686,3262.0,55.95,125.8,Desktop
2023-05-04 01:00:00,Organic,1071,212,7480.0,36.2,272.74,Mobile
2023-05-04 02:00:00,Paid,939,1109,1159.0,48.64,208.62,Mobile
2023-05-04 03:00:00,Direct,830,1058,1176.0,46.68,160.4,Tablet
2023-05-04 04:00:00,Social Media,1681,288,2647.0,63.98,152.49,Tablet
2023-05-04 05:00:00,Direct,1223,349,712.0,56.13,250.6,Desktop
2023-05-04 06:00:00,Direct,233,532,3841.0,46.72,174.54,Tablet
2023-05-04 07:00:00,Organic,447,346,3698.0,34.42,173.49,Tablet
2023-05-04 08:00:00,Organic,1488,180,1579.0,34.06,227.12,Tablet
2023-05-04 09:00:00,Organic,868,1361,5442.0,47.03,223.02,Tablet
2023-05-04 10:00:00,Organic,425,1138,4089.0,31.94,240.48,Desktop
2023-05-04 11:00:00,Paid,741,353,4888.0,49.17,173.62,Tablet
2023-05-04 12:00:00,Organic,870,1412,2538.0,36.21,291.62,Tablet
2023-05-04 13:00:00,Organic,821,863,4775.0,31.14,211.32,Mobile
2023-05-04 14:00:00,Organic,1673,1423,4742.0,30.45,244.29,Mobile
2023-05-04 15:00:00,Organic,1999,1303,2418.0,40.06,207.88,Mobile
2023-05-04 16:00:00,Direct,1143,1105,2933.0,43.85,196.8,Mobile
2023-05-04 17:00:00,Organic,1876,1104,2156.0,33.46,247.25,Tablet
2023-05-04 18:00:00,Direct,555,978,4327.0,30.58,221.4,Mobile
2023-05-04 19:00:00,Paid,355,485,6763.0,54.17,196.12,Tablet
2023-05-04 20:00:00,Organic,1860,360,3851.0,33.9,221.66,Tablet
2023-05-04 21:00:00,Organic,940,236,3591.0,32.46,270.97,Desktop
2023-05-04 22:00:00,Social Media,543,500,1162.0,53.51,134.28,Desktop
2023-05-04 23:00:00,Organic,1615,628,4469.0,27.93,238.09,Tablet
2023-05-05 00:00:00,Organic,1022,1212,2390.0,37.5,212.47,Tablet
2023-05-05 01:00:00,Organic,860,521,3047.0,41.83,232.38,Desktop
2023-05-05 02:00:00,Referral,1443,1312,4248.0,45.92,245.77,Desktop
2023-05-05 03:00:00,Direct,969,80,3165.0,50.33,220.7,Mobile
2023-05-05 04:00:00,Organic,869,127,1847.0,30.88,263.06,Tablet
2023-05-05 05:00:00,Direct,1717,925,6502.0,37.19,232.76,Desktop
2023-05-05 06:00:00,Paid,403,1498,2044.0,41.39,211.52,Mobile
2023-05-05 07:00:00,Direct,180,1161,1388.0,36.52,227.75,Tablet
2023-05-05 08:00:00,Paid,1351,1366,6867.0,63.25,162.25,Mobile
2023-05-05 09:00:00,Organic,1018,1204,5819.0,32.49,234.06,Desktop
2023-05-05 10:00:00,Organic,1036,449,490.0,34.42,272.05,Mobile
2023-05-05 11:00:00,Paid,1882,122,5941.0,51.56,139.04,Tablet
2023-05-05 12:00:00,Organic,464,1260,3263.0,32.12,248.52,Desktop
2023-05-05 13:00:00,Social Media,1304,1023,4590.0,61.9,140.32,Mobile
2023-05-05 14:00:00,Social Media,615,270,277.0,63.33,114.39,Desktop
2023-05-05 15:00:00,Direct,245,751,7547.0,44.01,196.92,Desktop
2023-05-05 16:00:00,Social Media,1703,931,2565.0,50.26,143.02,Mobile
2023-05-05 17:00:00,Social Media,1042,1064,6197.0,57.61,92.6,Tablet
2023-05-05 18:00:00,Organic,535,1107,6518.0,35.47,250.97,Tablet
2023-05-05 19:00:00,Paid,1192,1066,4963.0,53.3,189.53,Mobile
2023-05-05 20:00:00,Paid,1846,470,3757.0,57.24,142.88,Mobile
2023-05-05 21:00:00,Paid,633,646,546.0,50.4,210.65,Tablet
2023-05-05 22:00:00,Direct,1694,831,881.0,46.19,269.54,Desktop
2023-05-05 23:00:00,Organic,1322,913,4023.0,38.5,285.07,Mobile
2023-05-06 00:00:00,Referral,1560,1072,2296.0,41.12,233.26,Desktop
2023-05-06 01:00:00,Organic,909,80,1892.0,31.86,208.71,Desktop
2023-05-06 02:00:00,Direct,429,565,4201.0,44.94,196.93,Mobile
2023-05-06 03:00:00,Referral,825,421,3430.0,45.81,242.1,Mobile
2023-05-06 04:00:00,Social Media,1201,1069,5971.0,61.89,139.93,Tablet
2023-05-06 05:00:00,Referral,886,168,734.0,34.93,202.09,Desktop
2023-05-06 06:00:00,Paid,344,563,4399.0,50.34,180.19,Desktop
2023-05-06 07:00:00,Direct,1941,890,495.0,45.4,198.31,Tablet
2023-05-06 08:00:00,Social Media,169,1444,3464.0,58.94,75.69,Desktop
2023-05-06 09:00:00,Organic,840,774,6759.0,42.64,230.48,Desktop
2023-05-06 10:00:00,Organic,348,87,2673.0,31.51,224.63,Tablet
2023-05-06 11:00:00,Paid,151,332,3093.0,54.72,189.17,Desktop
2023-05-06 12:00:00,Referral,204,818,2300.0,37.99,182.43,Tablet
2023-05-06 13:00:00,Organic,187,1255,3429.0,35.65,223.43,Desktop
2023-05-06 14:00:00,Organic,1785,270,2720.0,27.64,242.66,Desktop
2023-05-06 15:00:00,Organic,579,1049,3551.0,38.34,211.64,Desktop
2023-05-06 16:00:00,Paid,1045,1197,7216.0,58.57,211.49,Desktop
2023-05-06 17:00:00,Organic,1244,760,3653.0,32.07,252.7,Tablet
2023-05-06 18:00:00,Organic,1012,1073,2852.0,33.55,288.03,Tablet
2023-05-06 19:00:00,Direct,1763,1240,3519.0,55.51,200.09,Desktop
2023-05-06 20:00:00,Direct,266,895,5825.0,49.0,235.82,Tablet
2023-05-06 21:00:00,Social Media,296,1029,408.0,61.06,99.14,Desktop
2023-05-06 22:00:00,Social Media,126,109,1599.0,51.3,110.38,Desktop
2023-05-06 23:00:00,Social Media,1095,834,2376.0,58.98,104.08,Tablet
2023-05-07 00:00:00,Paid,946,651,505.0,51.02,196.88,Desktop
2023-05-07 01:00:00,Direct,1860,895,5095.0,44.3,160.75,Mobile
2023-05-07 02:00:00,Organic,883,615,7977.0,49.18,320.22,Tablet
2023-05-07 03:00:00,Paid,1553,456,3016.0,50.5,160.72,Tablet
2023-05-07 04:00:00,Referral,1289,366,7354.0,41.71,235.92,Tablet
2023-05-07 05:00:00,Organic,175,299,1426.0,37.19,266.94,Mobile
2023-05-07 06:00:00,Organic,1236,360,784.0,34.31,278.76,Mobile
2023-05-07 07:00:00,Referral,1033,744,7235.0,42.62,213.12,Desktop
2023-05-07 08:00:00,Direct,1225,587,5382.0,41.57,197.99,Tablet
2023-05-07 09:00:00,Organic,682,174,877.0,26.95,214.64,Desktop
2023-05-07 10:00:00,Organic,111,1000,2648.0,35.27,249.1,Desktop
2023-05-07 11:00:00,Organic,1114,676,2152.0,34.91,303.58,Desktop
2023-05-07 12:00:00,Organic,955,746,3645.0,29.55,296.87,Mobile
2023-05-07 13:00:00,Referral,1706,289,3836.0,40.47,193.55,Tablet
2023-05-07 14:00:00,Organic,1826,247,5305.0,37.24,243.07,Tablet
2023-05-07 15:00:00,Direct,1867,596,7114.0,51.64,212.0,Tablet
2023-05-07 16:00:00,Referral,517,701,3619.0,41.08,215.99,Tablet
2023-05-07 17:00:00,Organic,820,537,3249.0,38.4,280.79,Mobile
2023-05-07 18:00:00,Organic,572,94,1653.0,35.95,214.25,Desktop
2023-05-07 19:00:00,Organic,140,1154,774.0,35.05,245.81,Desktop
2023-05-07 20:00:00,Social Media,1452,1417,1445.0,64.94,125.32,Mobile
2023-05-07 21:00:00,Organic,504,500,7126.0,48.47,248.77,Mobile
2023-05-07 22:00:00,Social Media,1995,1493,2987.0,58.68,102.35,Tablet
2023-05-07 23:00:00,Organic,779,1157,2347.0,24.86,256.71,Desktop
2023-05-08 00:00:00,Paid,474,224,4094.0,57.08,147.53,Desktop
2023-05-08 01:00:00,Paid,1055,1483,2428.0,49.02,194.38,Desktop
2023-05-08 02:00:00,Organic,675,207,1811.0,33.05,201.52,Tablet
2023-05-08 03:00:00,Organic,1928,380,1134.0,38.28,272.07,Desktop
2023-05-08 04:00:00,Organic,1788,849,3712.0,33.31,262.68,Mobile
2023-05-08 05:00:00,Paid,1837,1243,1231.0,45.18,169.69,Desktop
2023-05-08 06:00:00,Social Media,1381,913,3190.0,59.15,128.95,Tablet
2023-05-08 07:00:00,Social Media,1334,701,2985.0,61.57,80.13,Desktop
2023-05-08 08:00:00,Direct,1090,1204,2229.0,46.07,260.94,Tablet
2023-05-08 09:00:00,Organic,1843,475,9566.0,29.83,251.9,Desktop
2023-05-08 10:00:00,Referral,1122,137,2690.0,43.7,238.5,Desktop
2023-05-08 11:00:00,Paid,725,99,4251.0,57.53,160.81,Mobile
2023-05-08 12:00:00,Direct,943,586,4514.0,49.58,239.18,Mobile
2023-05-08 13:00:00,Organic,286,1343,3905.0,29.46,306.7,Tablet
2023-05-08 14:00:00,Organic,1095,593,1605.0,45.23,236.27,Tablet
2023-05-08 15:00:00,Organic,903,578,3301.0,31.89,203.8,Desktop
2023-05-08 16:00:00,Direct,1849,787,3655.0,53.01,247.57,Mobile
2023-05-08 17:00:00,Organic,1307,1234,897.0,38.23,250.4,Tablet
2023-05-08 18:00:00,Organic,137,1067,1582.0,38.06,243.44,Mobile
2023-05-08 19:00:00,Direct,755,287,8835.0,40.34,179.01,Tablet
2023-05-08 20:00:00,Social Media,1669,834,4852.0,55.5,120.92,Tablet
2023-05-08 21:00:00,Social Media,1146,607,3701.0,64.36,152.99,Tablet
2023-05-08 22:00:00,Organic,1108,802,3460.0,37.36,243.02,Tablet
2023-05-08 23:00:00,Organic,1948,1389,3044.0,37.44,297.73,Mobile
2023-05-09 00:00:00,Organic,1207,1156,5736.0,35.52,224.27,Mobile
2023-05-09 01:00:00,Paid,1552,685,6407.0,53.26,172.2,Tablet
2023-05-09 02:00:00,Paid,1774,829,2203.0,45.22,165.46,Desktop
2023-05-09 03:00:00,Paid,877,1067,5230.0,51.89,213.21,Tablet
2023-05-09 04:00:00,Direct,1445,959,302.0,44.51,174.85,Tablet
2023-05-09 05:00:00,Direct,420,747,5678.0,43.66,205.19,Desktop
2023-05-09 06:00:00,Direct,1601,398,5385.0,45.45,201.86,Desktop
2023-05-09 07:00:00,Direct,177,713,7324.0,45.63,238.11,Desktop
2023-05-09 08:00:00,Referral,603,1278,1831.0,44.64,225.47,Tablet
2023-05-09 09:00:00,Paid,720,1413,713.0,58.49,149.77,Desktop
2023-05-09 10:00:00,Organic,411,1256,6655.0,34.16,238.44,Tablet
2023-05-09 11:00:00,Referral,592,1006,7761.0,36.6,155.26,Mobile
2023-05-09 12:00:00,Organic,396,974,4011.0,47.8,271.28,Mobile
2023-05-09 13:00:00,Direct,1629,136,1042.0,44.6,150.8,Desktop
2023-05-09 14:00:00,Direct,1145,1230,4173.0,43.17,229.26,Tablet
2023-05-09 15:00:00,Organic,1729,464,1135.0,34.02,257.68,Tablet
2023-05-09 16:00:00,Referral,1814,171,2497.0,34.84,222.84,Desktop
2023-05-09 17:00:00,Referral,501,312,4421.0,44.16,179.24,Desktop
2023-05-09 18:00:00,Organic,1916,809,806.0,37.3,266.18,Tablet
2023-05-09 19:00:00,Paid,646,1174,3469.0,48.63,163.67,Tablet
2023-05-09 20:00:00,Organic,1125,674,4117.0,39.15,208.69,Mobile
2023-05-09 21:00:00,Direct,1327,108,500.0,41.97,240.54,Tablet
2023-05-09 22:00:00,Organic,565,1105,2627.0,34.03,278.49,Tablet
2023-05-09 23:00:00,Direct,1100,1138,658.0,47.9,235.03,Desktop
2023-05-10 00:00:00,Paid,1134,750,1841.0,51.89,182.22,Desktop
2023-05-10 01:00:00,Organic,383,260,3928.0,37.14,240.62,Desktop
2023-05-10 02:00:00,Direct,465,1467,277.0,49.69,142.03,Tablet
2023-05-10 03:00:00,Organic,1003,496,7770.0,41.91,226.18,Desktop
2023-05-10 04:00:00,Organic,1978,257,1217.0,38.86,276.54,Mobile
2023-05-10 05:00:00,Organic,690,1433,2240.0,24.58,233.09,Mobile
2023-05-10 06:00:00,Referral,1082,96,382.0,38.06,219.23,Mobile
2023-05-10 07:00:00,Direct,230,308,6671.0,50.13,233.71,Mobile
2023-05-10 08:00:00,Organic,610,98,942.0,29.4,223.86,Tablet
2023-05-10 09:00:00,Paid,1288,740,4519.0,58.81,183.9,Tablet
2023-05-10 10:00:00,Referral,517,878,7033.0,36.72,178.34,Mobile
2023-05-10 11:00:00,Referral,1371,1166,2309.0,31.09,247.89,Mobile
2023-05-10 12:00:00,Organic,310,1498,4132.0,37.87,307.89,Mobile
2023-05-10 13:00:00,Organic,654,270,3364.0,24.19,193.06,Tablet
2023-05-10 14:00:00,Direct,1168,821,7043.0,41.53,254.59,Desktop
2023-05-10 15:00:00,Direct,1088,1246,2046.0,38.28,233.05,Desktop
2023-05-10 16:00:00,Organic,414,1100,713.0,30.4,234.66,Tablet
2023-05-10 17:00:00,Paid,878,1413,7078.0,54.41,184.18,Mobile
2023-05-10 18:00:00,Organic,1719,1392,3917.0,40.46,239.15,Desktop
2023-05-10 19:00:00,Organic,1040,451,1555.0,29.08,194.28,Mobile
2023-05-10 20:00:00,Organic,549,913,5049.0,33.35,265.15,Mobile
2023-05-10 21:00:00,Social Media,1597,740,1173.0,69.67,84.86,Mobile
2023-05-10 22:00:00,Organic,154,833,3900.0,36.48,210.83,Desktop
2023-05-10 23:00:00,Paid,1573,591,2168.0,54.38,199.93,Desktop
2023-05-11 00:00:00,Referral,725,1065,805.0,38.51,220.38,Tablet
2023-05-11 01:00:00,Organic,1505,706,4302.0,42.63,216.75,Mobile
2023-05-11 02:00:00,Paid,1707,791,947.0,54.01,128.5,Desktop
2023-05-11 03:00:00,Organic,555,1239,1073.0,36.02,274.86,Desktop
2023-05-11 04:00:00,Paid,934,1304,6282.0,53.03,203.06,Tablet
2023-05-11 05:00:00,Direct,1423,191,2280.0,38.22,197.19,Mobile
2023-05-11 06:00:00,Direct,227,1234,3609.0,44.73,249.86,Tablet
2023-05-11 07:00:00,Organic,1760,592,4261.0,34.02,241.09,Tablet
2023-05-11 08:00:00,Paid,1009,173,587.0,40.43,164.67,Mobile
2023-05-11 09:00:00,Direct,552,923,426.0,44.22,220.84,Desktop
2023-05-11 10:00:00,Direct,1715,357,4497.0,44.56,192.91,Tablet
2023-05-11 11:00:00,Organic,827,1284,1975.0,38.03,257.85,Mobile
2023-05-11 12:00:00,Social Media,978,350,3618.0,57.99,173.14,Desktop
2023-05-11 13:00:00,Social Media,253,1196,2201.0,63.2,78.22,Mobile
2023-05-11 14:00:00,Direct,547,483,3161.0,37.23,211.1,Desktop
2023-05-11 15:00:00,Direct,900,1325,4604.0,55.32,206.33,Desktop
2023-05-11 16:00:00,Organic,1314,1292,6950.0,29.63,208.68,Tablet
2023-05-11 17:00:00,Referral,223,545,6401.0,43.7,236.78,Desktop
2023-05-11 18:00:00,Social Media,345,236,2543.0,54.27,122.57,Mobile
2023-05-11 19:00:00,Paid,1977,453,2502.0,37.44,189.49,Tablet
2023-05-11 20:00:00,Direct,888,520,2473.0,43.96,187.8,Desktop
2023-05-11 21:00:00,Paid,1731,602,596.0,50.8,183.32,Desktop
2023-05-11 22:00:00,Organic,378,1233,1316.0,39.58,277.51,Tablet
2023-05-11 23:00:00,Paid,565,643,1670.0,55.63,180.42,Mobile
2023-05-12 00:00:00,Direct,898,256,5925.0,48.17,184.77,Tablet
2023-05-12 01:00:00,Social Media,1577,90,1418.0,58.49,164.93,Desktop
2023-05-12 02:00:00,Organic,1990,1097,4724.0,33.26,221.1,Tablet
2023-05-12 03:00:00,Referral,1697,857,2518.0,43.99,238.13,Tablet
2023-05-12 04:00:00,Direct,1182,684,3315.0,38.59,228.52,Tablet
2023-05-12 05:00:00,Organic,1926,1134,6304.0,38.02,275.61,Desktop
2023-05-12 06:00:00,Organic,1129,624,5154.0,40.01,273.5,Tablet
2023-05-12 07:00:00,Organic,321,645,1085.0,30.03,256.01,Mobile
2023-05-12 08:00:00,Referral,641,432,1319.0,39.22,212.44,Desktop
2023-05-12 09:00:00,Direct,1248,1264,4218.0,51.46,191.21,Mobile
2023-05-12 10:00:00,Direct,1859,500,4567.0,40.61,214.42,Desktop
2023-05-12 11:00:00,Organic,1996,1472,6775.0,35.3,247.1,Tablet
2023-05-12 12:00:00,Organic,477,697,6062.0,37.88,235.68,Tablet
2023-05-12 13:00:00,Direct,1548,1371,3541.0,35.77,190.46,Desktop
2023-05-12 14:00:00,Social Media,1750,244,4696.0,63.29,118.38,Desktop
2023-05-12 15:00:00,Referral,925,937,2831.0,41.04,172.72,Mobile
2023-05-12 16:00:00,Referral,1461,1063,5236.0,35.03,260.8,Desktop
2023-05-12 17:00:00,Paid,349,868,4303.0,47.66,174.84,Desktop
2023-05-12 18:00:00,Organic,1790,1333,1729.0,25.9,233.43,Desktop
2023-05-12 19:00:00,Direct,1249,1322,2947.0,43.07,215.5,Desktop
2023-05-12 20:00:00,Organic,488,1025,5670.0,40.65,207.02,Desktop
2023-05-12 21:00:00,Direct,1272,762,5170.0,41.24,141.9,Mobile
2023-05-12 22:00:00,Social Media,1593,168,1907.0,62.2,175.51,Tablet
2023-05-12 23:00:00,Organic,532,1487,4233.0,35.04,244.02,Mobile
2023-05-13 00:00:00,Organic,1322,1020,3580.0,35.97,295.14,Tablet
2023-05-13 01:00:00,Organic,998,757,8003.0,48.37,215.1,Desktop
2023-05-13 02:00:00,Paid,1029,648,4077.0,52.52,164.51,Desktop
2023-05-13 03:00:00,Referral,644,1190,566.0,36.5,281.6,Desktop
2023-05-13 04:00:00,Organic,1863,1383,5318.0,35.8,205.13,Mobile
2023-05-13 05:00:00,Referral,1140,475,4069.0,41.92,275.19,Desktop
2023-05-13 06:00:00,Organic,575,975,2251.0,44.19,281.72,Mobile
2023-05-13 07:00:00,Direct,952,997,4057.0,39.02,225.35,Desktop
2023-05-13 08:00:00,Organic,1145,1064,5295.0,35.06,214.49,Tablet
2023-05-13 09:00:00,Organic,1266,191,5409.0,39.94,288.92,Desktop
2023-05-13 10:00:00,Organic,1265,928,357.0,37.07,300.96,Desktop
2023-05-13 11:00:00,Organic,525,806,4788.0,37.93,246.89,Mobile
2023-05-13 12:00:00,Paid,818,639,542.0,48.46,181.59,Mobile
2023-05-13 13:00:00,Organic,1095,407,7770.0,37.18,217.94,Desktop
2023-05-13 14:00:00,Direct,694,311,1706.0,48.0,196.76,Desktop
2023-05-13 15:00:00,Referral,1405,760,2245.0,40.03,191.23,Desktop
2023-05-13 16:00:00,Organic,309,1455,1469.0,43.86,242.05,Mobile
2023-05-13 17:00:00,Paid,764,504,5519.0,52.07,165.08,Mobile
2023-05-13 18:00:00,Organic,1042,715,1110.0,26.59,238.42,Desktop
2023-05-13 19:00:00,Organic,506,1116,4233.0,34.16,293.11,Tablet
2023-05-13 20:00:00,Organic,1299,139,1360.0,35.69,274.02,Desktop
2023-05-13 21:00:00,Organic,175,1284,2790.0,35.65,268.14,Tablet
2023-05-13 22:00:00,Organic,879,1259,8399.0,33.86,267.34,Mobile
2023-05-13 23:00:00,Organic,676,556,876.0,41.03,174.38,Tablet
2023-05-14 00:00:00,Organic,1724,693,939.0,32.79,270.94,Tablet
2023-05-14 01:00:00,Organic,1276,912,9056.0,33.24,249.47,Tablet
2023-05-14 02:00:00,Paid,759,1211,6087.0,46.84,207.75,Mobile
2023-05-14 03:00:00,Direct,1493,222,4868.0,43.44,203.62,Desktop
2023-05-14 04:00:00,Organic,1661,156,987.0,30.91,259.48,Mobile
2023-05-14 05:00:00,Direct,1430,1110,4131.0,48.33,195.31,Mobile
2023-05-14 06:00:00,Social Media,453,1374,6205.0,58.51,124.61,Desktop
2023-05-14 07:00:00,Organic,1550,320,1780.0,28.36,303.36,Tablet
2023-05-14 08:00:00,Paid,1495,757,8481.0,53.97,120.43,Mobile
2023-05-14 09:00:00,Organic,1904,768,2403.0,32.65,228.76,Desktop
2023-05-14 10:00:00,Direct,1177,810,2389.0,44.84,203.37,Desktop
2023-05-14 11:00:00,Organic,1838,545,8268.0,32.88,216.56,Desktop
2023-05-14 12:00:00,Referral,877,315,3117.0,41.4,183.17,Tablet
2023-05-14 13:00:00,Organic,117,125,6555.0,33.62,245.2,Desktop
2023-05-14 14:00:00,Organic,431,104,1942.0,36.2,207.57,Tablet
2023-05-14 15:00:00,Organic,1738,354,6443.0,38.21,212.12,Mobile
2023-05-14 16:00:00,Organic,1126,666,2497.0,39.44,262.54,Mobile
2023-05-14 17:00:00,Organic,1364,720,9072.0,38.91,221.46,Mobile
2023-05-14 18:00:00,Paid,177,1048,8509.0,44.17,223.04,Tablet
2023-05-14 19:00:00,Paid,378,1409,4008.0,63.94,198.23,Tablet
2023-05-14 20:00:00,Direct,1674,606,2402.0,46.83,233.77,Mobile
2023-05-14 21:00:00,Direct,920,828,1799.0,42.92,245.43,Mobile
2023-05-14 22:00:00,Organic,603,268,4303.0,44.34,176.62,Mobile
2023-05-14 23:00:00,Organic,735,776,3426.0,29.71,178.1,Tablet
2023-05-15 00:00:00,Paid,119,1234,1453.0,43.85,200.61,Mobile
2023-05-15 01:00:00,Referral,1360,1245,5058.0,40.79,232.36,Mobile
2023-05-15 02:00:00,Organic,1340,1407,4535.0,26.77,232.77,Tablet
2023-05-15 03:00:00,Paid,1558,329,5840.0,38.04,206.0,Tablet
2023-05-15 04:00:00,Social Media,1686,470,4047.0,63.82,106.96,Desktop
2023-05-15 05:00:00,Organic,789,596,7442.0,33.84,240.68,Desktop
2023-05-15 06:00:00,Organic,1172,873,5062.0,36.52,204.77,Mobile
2023-05-15 07:00:00,Organic,826,1001,823.0,27.47,236.89,Tablet
2023-05-15 08:00:00,Organic,1413,436,1719.0,35.81,287.7,Mobile
2023-05-15 09:00:00,Social Media,1227,837,4150.0,58.72,65.21,Mobile
2023-05-15 10:00:00,Referral,1458,110,2196.0,45.48,221.81,Desktop
2023-05-15 11:00:00,Paid,1328,1173,4300.0,53.61,147.01,Tablet
